1;Bodø/Glimt
2;Brann
3;HamKam
4;Haugesund
5;Lillestrøm
6;Molde
7;Odd
8;Rosenborg
9;Sandefjord
10;Sarpsborg 08
11;Stabæk
12;Strømsgodset
13;Tromsø
14;Viking
15;Vålerenga
16;Aalesund
